,question,referenceAnswers,studentAnswer,label
991,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the positive battery terminal is not connected to terminal 1.,1
992,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,because terminal one and the positive terminal are connected,3
993,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,because terminal one is connected to the positive battery terminal,3
994,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,because terminal one and the positive battery terminal are on a closed path,3
995,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,because there is a gap between terminal one and the positive battery terminal,1
996,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,termianl 1 is not connected to the positive battery terminal.,1
997,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,because there was no separation in the positive battery terminal and terminal 1.,3
998,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,because there was no gap in the positive battery terminal and terminal 1.,3
999,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,because there is a gap between the positive battery terminal and terminal 1.,1
1000,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Because there was a gap between the positive battery terminal and terminal 1.,1
1001,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,because there was not direct connection between the positive terminal and bulb terminal 1,1
1002,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,becaquse there was a gap in the connection,2
1003,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,there was a gap,2
1004,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Terminal 1 is not connected to the positive terminal.,1
1005,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,because it was connected to the positive terminal,3
1006,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,terminal 2 was connected to the negative terminal,3
1007,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,its connected,3
1008,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,because the terminals are in the same state,3
1009,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the terminal is connected to the negative terminal of the battery,2
1010,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Terminal 1 is connected to the positive terminal.,3
1011,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Terminal 1 is connected to the negative terminal.,1
1012,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,no damaged bulb,3
1013,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,I get a 1.5 V reading because the negative terminal of battery is connected to terminal of bulb and then bulb is then connected to postive terminal of battery,3
1014,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,1 has no gap,3
1015,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the terminals are seperated,2
1016,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,there is a gap,2
1017,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,there is no connection,2
1018,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,there is a separation,2
1019,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the positive battery terminal and terminal 1 are not connected,1
1020,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Because there was a gap,2
1021,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,it was connected to a positive battery terminal,3
1022,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,positive battery terminal,2
1023,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,terminal one is connected to the negative terminal and terminal 1 is seperated from the positive terminal by a gap,1
1024,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,there is no gap between the posittive terminal and terminal 1,3
1025,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,tell me the answer,2
1026,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Terminal 1 is connected tot he positive terminal.,3
1027,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Voltage is the difference between a positive and negative end on a battery.,2
1028,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the terminal is connected to the positive battery terminal,1
1029,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the terminal is connected to the battery,2
1030,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the terminal is connected to the battery terminal,2
1031,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,there is not gap between the terminals,3
1032,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the terminal is not connected to the positive battery terminal,1
1033,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,terminal 1 is not connected to the positive battery terminal,1
1034,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the battery is not connected to the terminal,3
1035,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the positive terminal is not connected to terminal 1,1
1036,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the positve battery terminal is separated by a gap at terminal 1,3
1037,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Because there is no gap at terminal 1,2
1038,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,there is a gap at terminal 1,3
1039,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the positive battery terminal is separated by a gap,2
1040,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,The voltage is 1.5 because thebulb terminal is connected to the battery terminal.,3
1041,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the voltage is 1.5 because he bulb terminal is connected to the battery terminal.,3
1042,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,there is no gap between terminal 1 and the psoitive terminal,3
1043,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,i dint know.,2
1044,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the two components are seperated.,2
1045,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,The positive terminal is not seperated by a gap.,3
1046,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,A terminal is connected to a bulb.,3
1047,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,A terminal is not connected to the positive battery terminal.,2
1048,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the positive terminal and terminal 1 are seperated by a gap,1
1049,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,because the positive terminal is separated with a gap from terminal 1,1
1050,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the gap separates the positive battery terminal from terminal 1,1
1051,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,positive connected to negative terminal,3
1052,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,positive charge,3
1053,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,terminal connected to negative,2
1054,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,terminal 1 is connected to the negative terminal,1
1055,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,The terminal is connected to a positive circuit.,3
1056,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,It was separted by a gap.,2
1057,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the terminals are not connected,1
1058,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,The positive battery was not connected to terminal one.,1
1059,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Different electrical states.,2
1060,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Terminal 1 is not connected to the positive battery terminal.,1
1061,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,because there was a positive and negative connection,3
1062,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Because they have different electrical states,2
1063,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,The positive battery terminal is separated by a gap from terminal 1.,1
1064,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,because it is not connected to the positive battery,2
1065,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the bulb was not damaged,3
1066,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,I dont know,2
1067,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Terminal 1 is connected to the positive battery terminal.,3
1068,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Terminal 1 was connected to the positive terminal.,3
1069,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,it is connected to the batteries positive terminal,3
1070,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Because they are not damaged.,3
1071,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Because they are not connected.,1
1072,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,terminal 1 is connected to the negative battery terminal,1
1073,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,"the two aren""t connected",1
1074,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the terminals are not connected to each other,1
1075,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,the terminals are not connected to each other.,1
1076,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,because there is a gap,2
1077,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Because their was a connected circuit.,3
1078,Explain why you got a voltage reading of 1.5 for terminal 1 and the positive terminal.,Terminal 1 and the positive terminal are separated by the gap / Terminal 1 and the positive terminal are not connected / terminal 1 is connected to the negative battery terminal / terminal 1 is not separated from the negative battery terminal / Terminal 1 and the positive battery terminal are in different electrical states,Terminal 1 and the positive terminal had different electrical states.,2
